State,District,Population,Growth (%),Sex Ratio,Literacy (%)
Uttar Pradesh,Etawah,1581810,18.15,870,78.41
Uttar Pradesh,Sant Ravidas Nagar,1578213,16.58,955,68.97
Orissa,Kalahandi,1576869,18.07,1003,59.22
Madhya Pradesh,Betul,1575362,12.92,971,68.9
Uttar Pradesh,Mahamaya Nagar,1564708,17.12,871,71.59
Madhya Pradesh,Dewas,1563715,19.53,942,69.35
Gujarat,Bharuch,1551019,13.16,925,81.51
Madhya Pradesh,Rajgarh,1545814,23.26,956,61.21
Rajasthan,Chittaurgarh,1544338,16.08,972,61.71
Chhattisgarh,Rajnandgaon,1537133,19.79,1015,75.96
Karnataka,Kolar,1536401,10.77,979,74.39
Jammu and Kashmir,Jammu,1529958,12.74,880,83.45
Assam,Kamrup,1517542,15.69,949,75.55
Haryana,Gurgaon,1514432,73.96,854,84.7
Gujarat,Amreli,1514190,8.63,964,74.25
Madhya Pradesh,Shajapur,1512681,17.2,938,69.09
Himachal Pradesh,Kangra,1510075,12.77,1012,85.67
Tamil Nadu,Dharmapuri,1506843,16.34,946,68.54
Orissa,Bhadrak,1506337,12.94,981,82.78
Haryana,Karnal,1505324,18.14,887,74.73
Jharkhand,Pashchimi Singhbhum,1502338,21.75,1005,58.63
Chhattisgarh,Raigarh,1493984,18.05,991,73.26
Jharkhand,Deoghar,1492073,28.03,925,64.85
Orissa,Bargarh,1481255,10.02,977,74.62
Madhya Pradesh,Vidisha,1458875,20.09,896,70.53
Rajasthan,Karauli,1458248,20.55,861,66.22
Madhya Pradesh,Ratlam,1455069,19.72,971,66.78
Haryana,Sonipat,1450001,13.35,856,79.12
Madhya Pradesh,Tikamgarh,1445166,20.13,901,61.43
Orissa,Kendrapara,1440361,10.63,1007,85.15
Karnataka,Uttara Kannada,1437169,6.17,979,84.06
Uttar Pradesh,Kanshiram Nagar,1436719,16.93,880,61.02
Rajasthan,Tonk,1421326,17.3,952,61.58
Chhattisgarh,Bastar,1413199,17.96,1023,54.4
Rajasthan,Jhalawar,1411129,19.55,946,61.5
Gujarat,Gandhinagar,1391753,4.29,923,84.16
Karnataka,Koppal,1389920,16.21,986,68.09
Rajasthan,Dungarpur,1388552,25.36,994,59.46
Punjab,Bathinda,1388525,17.34,868,68.28
Madhya Pradesh,Barwani,1385881,27.57,982,49.08
Orissa,Koraput,1379647,16.86,1032,49.21
Uttar Pradesh,Auraiya,1379545,16.91,864,78.95
Madhya Pradesh,Seoni,1379131,18.22,982,72.12
Bihar,Munger,1367765,20.21,876,70.46
